Kundenname;IP-Adresse;Port;Seriennummer;Firmware;FortiCare;FortiGuard;AV-DB;FortiManager;Local-in-policy;Uptime;SSIDs;AP-Name;AP-Serials;AP-Firmware
Schule Neuheim;78.110.141.206;8443;FG100D3G12805142;v5.4.5;29.09.2018;29.09.2018;53.00289;False;True;;SchuleNeuheim,Unterricht,Schule Neuheim Gast;ap01,ap02,ap03,ap04,ap05,ap06,ap07,ap08,ap09,ap15,ap14,ap13,ap12,error,ap11,ap10,ap16,ap17,ap21,ap20,ap19,ap18;FP221C3X14027404,FP221C3X14027657,FP221C3X14027660,FP221C3X14027663,FP221C3X14027664,FP221C3X14027665,FP221C3X14027679,FP221C3X14027681,FP221C3X14027707,FP221C3X15038615,FP221C3X15038622,FP221C3X15038987,FP221C3X15039122,FP221C3X15039124,FP221C3X15039132,FP221C3X16006060,FP221C3X16006466,FP221C3X16030051,FP221C3X16030069,FP221C3X16030103,FP320C3X14012435;FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP320C-v5.4-build0354
Schule Neuheim;151.248.188.38;8443;FG100D3G12805142;v5.4.5;29.09.2018;29.09.2018;53.00289;False;True;;SchuleNeuheim,Unterricht,Schule Neuheim Gast;ap01,ap02,ap03,ap04,ap05,ap06,ap07,ap08,ap09,ap15,ap14,ap13,ap12,error,ap11,ap10,ap16,ap17,ap21,ap20,ap19,ap18;FP221C3X14027404,FP221C3X14027657,FP221C3X14027660,FP221C3X14027663,FP221C3X14027664,FP221C3X14027665,FP221C3X14027679,FP221C3X14027681,FP221C3X14027707,FP221C3X15038615,FP221C3X15038622,FP221C3X15038987,FP221C3X15039122,FP221C3X15039124,FP221C3X15039132,FP221C3X16006060,FP221C3X16006466,FP221C3X16030051,FP221C3X16030069,FP221C3X16030103,FP320C3X14012435;FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP221C-v5.4-build0354,FP320C-v5.4-build0354
SNF;195.176.9.3;8443;FGT5HD3915802322;v5.4.5;13.10.2018;13.10.2018;53.00288;False;True;;None;None;None;None
StadlerForm;82.136.65.89;8443;FG080D3915001444;v5.4.5;13.11.2018;13.11.2018;53.00275;False;True;;SF-guest,SF;FP221C3X15030779;FP221C3X15030779;FP221C-v5.4-build0363
Staerkle;82.136.66.115;8443;FWF60D4Q15032835;v5.4.5;14.09.2018;14.09.2018;53.00276;False;True;;None;None;None;None
TeleZüri;62.2.78.66;8443;FGT5HD3915800293;v5.4.5;26.06.2018;26.06.2018;53.00289;False;True;;None;None;None;None
Wild Group Managegment;82.136.66.129;8443;FGT60D4615009937;v5.4.5;21.10.2018;21.10.2018;53.00289;False;True;;wild-public;ap03,ap02,ap01;FP221C3X16006592,FP221C3X16006623,FP221C3X16006824;FP221C-v5.2-build0262,FP221C-v5.2-build0262,FP221C-v5.2-build0262
Wild Ingenieure;62.202.30.41;8443;FGT70D3Z14003043;v5.4.5;09.06.2018;09.06.2018;53.00276;False;True;;None;None;None;None
Bantleon;79.253.34.48;8443;FGT60D4614080838;v5.4.6;02.06.2020;02.06.2020;53.00274;True;True;;bantleonwlan;FP221C3X14027661;FP221C3X14027661;FP221C-v5.4-build0371
Bantleon;188.192.179.88;8443;FGT60E4Q16095624;v5.4.6;16.09.2022;16.09.2022;53.00277;True;True;;bantleonwlan;FP221C3X14027661,error,FP221C3X17041090;FP221C3X14027661,FP221C3X17041090;FP221C-v5.4-build0371
Comconsult;109.164.233.22;8443;FGT70D3Z14000224;v5.4.6;28.11.2018;28.11.2018;53.00289;False;True;;wlan_guest,wlan_intern;ap01;FP221C3X14037630;FP221C-v5.4-build0371
Consor;83.173.220.33;8443;FGT60E4Q16018499;v5.4.6;expired;23.12.2017;1;False;True;;None;None;None;None
DBU;213.3.60.66;8443;FG100D3G12810132;v5.4.6;01.01.2019;01.01.2019;53.00289;False;True;;DBU Gast,DBU;OG3,OG2,OG1;FP221B3X13017839,FP221B3X13017896,FP221B3X13017937;FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371
Doku Zug;212.4.71.18;8443;FGT70D3Z14002977;v5.4.6;02.07.2018;02.07.2018;53.00274;False;True;;doku-gast,doku-intern;ap02-klein,ap03-leseraum,ap01-eingang;FP221B3X13006714,FP221B3X13006868,FP221B3X13006929;FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371
KADI AG;212.243.156.114;8443;FG240D3913801611;v5.4.6;02.04.2018;02.04.2018;53.00289;False;False;;kadi-intern,kadi-guest;AP01,AP03,AP04,AP02,AP05,error;FP221C3X14022614,FP221C3X16022374,FP221C3X16022457,FP221C3X16029323,FP221C3X17023053;FP221C-v5.4-build0371,FP221C-v5.4-build0371,FP221C-v5.4-build0371,FP221C-v5.4-build0371
Reichlin Hess AG;46.14.207.186;8443;FGT60E4Q16009332;v5.4.6;04.12.2019;04.12.2019;53.00289;False;True;;RH-Visitors,RH-Tenant,RH;AP-02-1OG,AP-01-EG,AP-03-2OG;FP221C3X16035952,FP221C3X16036163,FP223C3X16003857;FP221C-v5.4-build0371,FP221C-v5.4-build0371,FP223C-v5.4-build0371
SI Schwarz Investments AG;82.136.65.60;8443;FGT60D4613008997;v5.4.6;13.07.2019;13.07.2019;53.00277;False;True;;None;None;None;None
SSTTBV;194.42.89.241;8443;FGT1KC3912801903;v5.4.6;23.05.2018;23.05.2018;53.00289;True;True;;None;None;None;None
SSTTBV;85.172.11.140;8443;FG100D3G12802216;v5.4.6;10.02.2018;10.02.2018;53.00274;True;True;;None;None;None;None
SSTTBV;194.42.89.177;8443;FGT6HD3916805719;v5.4.6;06.05.2022;06.05.2022;53.00289;True;True;;None;None;None;None
SSTTBV;46.18.205.206;8443;FGT60E4Q16024514;v5.4.6;25.04.2022;25.04.2022;53.00289;True;True;;None;None;None;None
SSTTBV;194.42.89.250;8443;FG800C3912801620;v5.4.6;23.05.2018;23.05.2018;53.00289;True;True;;None;None;None;None
SSTTBV;95.158.170.58;8443;FWF60E4Q16007182;v5.4.6;30.03.2022;30.03.2022;53.00288;True;True;;None;None;None;None
Swissepi;212.51.138.177;8443;FGT6HD3916800200;v5.4.6;19.08.2021;19.08.2021;53.00289;True;True;;None;None;None;None
Swissepi;157.161.64.66;8443;FGT6HD3916800200;v5.4.6;19.08.2021;19.08.2021;53.00289;True;True;;None;None;None;None
VIC (carl elsener home);37.209.183.40;8443;FGT60D4613061038;v5.4.6;02.01.2020;02.01.2020;53.00274;True;True;;mythen;FAP24D3X15000975,AP-02-UG1,AP-01-OG2,FP221C3X15020398;FAP24D3X15000975,FP221C3X14000375,FP221C3X14000413,FP221C3X15020398;FAP24D-v5.4-build0339,FP221C-v5.2-build475,FP221C-v5.2-build475,FP221C-v5.4-build0354
VIC DENWCO;87.234.35.222;8443;FGT60D4Q15013734;v5.4.6;19.02.2019;19.02.2019;53.00289;True;True;;None;None;None;None
VIC JP-TO (Tokyo);39.110.217.217;8443;FGT3HD3917801447;v5.4.6;12.07.2022;12.07.2022;53.00289;True;True;;None;None;None;None
VIC MX-BH (Barranca Honda);201.161.36.34;8443;FGT60E4Q16078447;v5.4.6;18.04.2022;18.04.2022;53.00288;True;True;;None;None;None;None
VIC MX-DF (Distrito Federal);201.156.11.69;8443;FGT60E4Q16078452;v5.4.6;18.04.2022;18.04.2022;53.0029;True;True;;None;None;None;None
VIC NLLIRO;46.44.157.129;8443;FGT60D4613000925;v5.4.6;02.01.2019;02.01.2019;53.00274;True;True;;None;None;None;None
Victorinox Ibach;194.209.117.132;8443;FG1K2D3I15800074;v5.4.6;23.09.2020;23.09.2020;53.00289;True;True;;None;None;None;None
Wascosa;178.174.72.122;8443;FG100D3G13824783;v5.4.6;23.11.2018;23.11.2018;53.00289;False;True;;WWASCOSA,WASCG;ap-03,ap-01,ap-02;FP221C3X16036141,FP221C3X16036151,FP221C3X16036156;FP221C-v5.4-build0363,FP221C-v5.4-build0363,FP221C-v5.4-build0363
Wascosa;212.103.72.130;8443;FGT70D3Z15002967;v5.4.6;21.08.2019;21.08.2019;53.00289;False;True;;None;None;None;None
Wockhardt Bio AG;81.63.173.33;8443;FG100D3G13802270;v5.4.6;27.04.2018;27.04.2018;53.00289;False;True;;Guest,Staff;ap04-kitchen,ap03-management,ap02-large-office,ap01-meeting-room;FP221B3X12012402,FP221B3X12012709,FP221B3X13007610,FP221B3X13007976;FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363
Beck Roof Consulting;5.144.15.161;8443;FGT50E3U17008603;v5.6.0;07.06.2020;07.06.2020;53.00274;False;False;;None;None;None;None
Easymonitoring AG;77.245.183.229;8443;FGT60E4Q16061254;v5.6.1;27.06.2020;22.06.2017;1;False;False;;None;None;None;None
Eltaver;178.174.3.150;8443;FGT60E4Q16058368;v5.6.1;06.08.2020;06.08.2020;53.00289;False;False;;eltaver-gast,eltaver-intern;AP01;FP221C3X17036043;FP221C-v5.6-build0467
FFN;185.75.154.2;8443;FG240D3913801758;v5.6.1;21.02.2018;21.02.2018;53.00289;False;False;;None;None;None;None
Bodyworx Rotkreuz;82.136.120.182;8443;FGT50E3U17018334;v5.6.2;03.10.2020;03.10.2020;53.00289;False;False;;None;None;None;None
BurgZug;212.4.94.131;8443;FG100D3G13810178;v5.6.2;29.07.2019;29.07.2019;53.00289;False;False;;burg-net,burg-gast;ap01-E.2-1,ap02-O2.28-1,ap03-U2.4-4,ap04-E.1-9,ap05-U2.4-3,ap07-O3.33-4,ap08-O4.50-5,ap09-O4.50-5,ap06-O1.16-1;FP221B3X13007833,FP221B3X13007836,FP221B3X13007842,FP221B3X13008162,FP221B3X13008177,FP221B3X13008377,FP221B3X13008406,FP221B3X13008407,FP221B3X13008423;FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363,FP221B-v5.4-build0363
Geozug AG;80.254.174.113;8443;FG100D3G14815232;v5.6.2;26.11.2018;26.11.2018;53.00274;False;False;;None;None;None;None
Kantonales Sozialamt Asyl (Artherstrasse);82.136.65.104;8443;FG100D3G12810109;v5.6.2;unavailable;unavailable;45.00098;False;False;;zg-artherstrasse_low,zg-artherstrasse;ap-asyl-09,ap-asyl-08,ap-asyl-07,ap-asyl-06,ap-asyl-05,ap-asyl-01,ap-asyl-02,ap-asyl-03,ap-asyl-04,ap-asyl-19,ap-asyl-13,ap-asyl-18,ap-asyl-20,ap-asyl-14,ap-asyl-21,ap-asyl-17,ap-asyl-16,ap-asyl-10,ap-asyl-15,ap-asyl-11,ap-asyl-12,ap-asyl-24,ap-asyl-25,ap-asyl-22,ap-asyl-23;FP221B3X12016184,FP221B3X12016191,FP221B3X12016192,FP221B3X12016222,FP221B3X12016227,FP221B3X12016233,FP221B3X12016234,FP221B3X12016242,FP221B3X12016255,FP221C3X15021059,FP221C3X15021184,FP221C3X15021193,FP221C3X15021195,FP221C3X15021207,FP221C3X15021336,FP221C3X16008444,FP221C3X16008501,FP221C3X16008573,FP221C3X16008589,FP221C3X16008726,FP221C3X16008743,FP221C3X16013434,FP221C3X16013477,FP221C3X16013693,FP221C3X16014218;FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221B-v5.4-build0371,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476
mayer+cie;46.14.60.150;8443;FGT60E4Q16037030;v5.6.2;27.04.2020;27.04.2020;53.00289;False;False;;None;None;None;None
Möbelfarik Bläuer;83.150.1.219;8443;FGT60D4614031325;v5.6.2;31.10.2017;31.10.2017;52.00684;False;False;;None;None;None;None
PacoWeiss Walchwi;81.62.43.249;8443;FGT50E3U16026439;v5.6.2;26.08.2020;26.08.2020;53.00286;False;False;;None;None;None;None
ProArbeit Zug;46.14.127.74;8443;FGT60E4Q16024430;v5.6.2;10.03.2020;10.03.2020;53.00289;False;False;;PA-Intern,PA-Kurs,PA-Gast;AP01,AP03,AP06,AP05,AP02,AP04;FP221C3X16052573,FP221C3X16055991,FP221C3X17019555,FP221C3X17019850,FP223C3X16006717,FP223C3X16006727;FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP221C-v5.6-build0476,FP223C-v5.6-build0476,FP223C-v5.6-build0476
Stone Estate Swiss AG;178.174.28.198;8443;FGT60E4Q17001951;v5.6.2;04.11.2022;04.11.2022;53.00289;False;False;;odysseus,stone_guest,odysseus_guest,stone;AP01,AP02;FP221E3X17000007,FP221E3X17000017;FP221E-v5.4-build4137,FP221E-v5.4-build4137
Advo-Trust;109.164.195.98;8443;;;;;;False;False;;;;;
AGZ Ziegelein AG;212.243.183.39;3443;;;;;;False;False;;;;;
Alfred Müller Christoph Mueller Privat;151.248.189.77;8443;;;;;;False;False;;;;;
Alfred-Müller;77.245.183.208;8443;;;;;;False;False;;;;;
Alfred-Müller;195.176.135.50;8443;;;;;;False;False;;;;;
Alfred-Müller;192.168.109.40;443;;;;;;False;False;;;;;
Alois Herzog AG (IT4Biz);62.202.17.212;8443;;;;;;False;False;;;;;
ALSO MSS;10.43.1.1;8443;;;;;;False;False;;;;;
Amphora;82.136.65.75;8443;;;;;;False;False;;;;;
Anderhub Peter (Home);82.136.110.185;8443;;;;;;False;False;;;;;
AOT;195.65.172.34;8443;;;;;;False;False;;;;;
AOT;195.65.18.194;8443;;;;;;False;False;;;;;
AOT;82.136.113.55;8443;;;;;;False;False;;;;;
AOT;85.232.242.181;8443;;;;;;False;False;;;;;
Arisco Adligenswil;10.14.103.2;8443;;;;;;False;False;;;;;
Arisco Egg;10.14.109.2;8443;;;;;;False;False;;;;;
Arisco Herisau;10.14.105.2;8443;;;;;;False;False;;;;;
Arisco Zug;10.14.104.2;8443;;;;;;False;False;;;;;
Arisco Zürich;10.14.107.2;8443;;;;;;False;False;;;;;
Arvest;212.25.24.137;8443;;;;;;False;False;;;;;
Arvest;212.25.30.17;8443;;;;;;False;False;;;;;
Aryzta Food Solutions CH;84.253.37.69;8443;;;;;;False;False;;;;;
Aryzta Food Solutions DE;195.145.125.36;8443;;;;;;False;False;;;;;
Aryzta Food Solutions DE;217.89.65.252;8443;;;;;;False;False;;;;;
Asrom (Rolf Müller);158.181.107.59;8443;;;;;;False;False;;;;;
Aurigavision;109.164.245.217;8443;;;;;;False;False;;;;;
Auto Wild Kriens;10.20.102.1;8443;;;;;;False;False;;;;;
Auto Wild Sihlbrugg;10.20.104.1;8443;;;;;;False;False;;;;;
Axapha;77.245.191.179;8443;;;;;;False;False;;;;;
Axapha;109.164.225.153;8443;;;;;;False;False;;;;;
Bachmann und Partner;82.136.65.23;8443;;;;;;False;False;;;;;
Bachmann und Partner;82.136.109.138;8443;;;;;;False;False;;;;;
Bachmann und Partner;81.62.238.206;8443;;;;;;False;False;;;;;
Ballonbox;195.141.164.70;8443;;;;;;False;False;;;;;
Bantleon;91.22.183.230;8443;;;;;;False;False;;;;;
Bantleon;212.23.229.2;8443;;;;;;False;False;;;;;
Bantleon;62.192.6.170;8443;;;;;;False;False;;;;;
Bibliothek Unterägeri;82.136.115.170;8443;;;;;;False;False;;;;;
Biopartners;213.180.161.178;8443;;;;;;False;False;;;;;
Blattmann & Partner;212.59.162.19;8443;;;;;;False;False;;;;;
BlochPartner-MedHolding;62.12.169.202;8443;;;;;;False;False;;;;;
BSC Home;213.55.184.208;8443;;;;;;False;False;;;;;
BueroAG;212.23.225.2;8443;;;;;;False;False;;;;;
BueroAG;82.136.66.11;8443;;;;;;False;False;;;;;
Burri & Lötscher AG (ITS4Biz);213.200.229.43;8443;;;;;;False;False;;;;;
Butti Baumeister;193.135.144.146;8443;;;;;;False;False;;;;;
Capital ;217.194.61.79;8443;;;;;;False;False;;;;;
Carecon;84.75.44.105;8443;;;;;;False;False;;;;;
Centralgarage Binzegger;77.245.183.224;8443;;;;;;False;False;;;;;
Chakroun;151.248.158.245;8443;;;;;;False;False;;;;;
CMI Partner;62.202.13.49;443;;;;;;False;False;;;;;
Comconsult-Heller;213.3.24.225;8443;;;;;;False;False;;;;;
Egli Rohr;46.14.74.186;8443;;;;;;False;False;;;;;
Euroclear;46.14.209.30;8443;;;;;;False;False;;;;;
FFN;172.29.1.70;8443;;;;;;False;False;;;;;
FFN;84.75.9.169;8443;;;;;;False;False;;;;;
FFN;217.194.62.220;443;;;;;;False;False;;;;;
FFN - Inet UC;95.152.118.143;8443;;;;;;False;False;;;;;
Fidfinvest;81.62.16.128;8443;;;;;;False;False;;;;;
Fiscom Consulting;213.200.210.42;8443;;;;;;False;False;;;;;
Future Finance;62.202.17.161;8443;;;;;;False;False;;;;;
G&S Personalberatung ;81.62.12.150;8443;;;;;;False;False;;;;;
Gallo AG Hünenberg;195.112.78.210;8443;;;;;;False;False;;;;;
Gde. Altdorf;10.43.202.254;20443;;;;;;False;False;;;;;
Gde. Altdorf;10.43.204.254;8443;;;;;;False;False;;;;;
Gde. Altdorf;10.43.215.98;8443;;;;;;False;False;;;;;
Gde. Unterägeri Bibliothek;158.181.108.73;8443;;;;;;False;False;;;;;
Gebr. Baur;46.140.127.70;8443;;;;;;False;False;;;;;
Global Recovery Alliance MIAMI;192.168.105.1;8443;;;;;;False;False;;;;;
Globetrotter;109.164.239.92;8443;;;;;;False;False;;;;;
Globetrotter;62.12.160.214;8443;;;;;;False;False;;;;;
Globetrotter;83.150.6.41;8443;;;;;;False;False;;;;;
Globetrotter;46.14.255.170;8443;;;;;;False;False;;;;;
Globetrotter;195.226.23.31;8443;;;;;;False;False;;;;;
Goodlooking;195.49.105.66;8443;;;;;;False;False;;;;;
Greenwood HomeOffice;192.168.1.103;8443;;;;;;False;False;;;;;
Grimcon (Rolf Graf);81.63.153.217;8443;;;;;;False;False;;;;;
Götte Optik;46.14.239.13;8443;;;;;;False;False;;;;;
Hadicon;212.90.220.226;8443;;;;;;False;False;;;;;
Halter;10.254.0.22;81;;;;;;False;False;;;;;
Hawa;10.2.1.1;8443;;;;;;False;False;;;;;
Hawa;216.215.106.82;443;;;;;;False;False;;;;;
Hawa;86.98.24.75;443;;;;;;False;False;;;;;
Heinrich Kübler Baar;212.4.67.242;8443;;;;;;False;False;;;;;
Heinrich Kübler Eberbach;10.201.225.1;8443;;;;;;False;False;;;;;
Heinrich Kübler Grossaitingen;10.202.225.1;8443;;;;;;False;False;;;;;
Heinrich Kübler Neuheim;82.136.79.183;8443;;;;;;False;False;;;;;
Herrmann Bau;46.14.234.9;8443;;;;;;False;False;;;;;
Herzog Optik;213.3.41.35;8443;;;;;;False;False;;;;;
HMZ;83.173.201.61;8443;;;;;;False;False;;;;;
IKO Unternehmensberatung;192.168.1.34;8443;;;;;;False;False;;;;;
Immoway;82.136.116.238;8443;;;;;;False;False;;;;;
Immoway;212.4.80.211;8443;;;;;;False;False;;;;;
Ineichen AG;10.250.250.2;8443;;;;;;False;False;;;;;
IneichenDrBeat;85.2.33.147;8443;;;;;;False;False;;;;;
Intigena;46.14.158.28;8443;;;;;;False;False;;;;;
Intigena;213.3.9.75;8443;;;;;;False;False;;;;;
Jakob Müller AG Frick;46.140.124.122;8443;;;;;;False;False;;;;;
Jakob Müller AG Möhlin;81.62.84.148;8443;;;;;;False;False;;;;;
Jakob Müller AG Wankdorf (RZ);164.128.63.212;8443;;;;;;False;False;;;;;
Jego Privat;151.248.146.187;8443;;;;;;False;False;;;;;
Jugi - Werkhof - Feuerwehr - Ökihof Unterägeri;82.136.118.252;8443;;;;;;False;False;;;;;
Jung Beatrice;151.248.189.27;8443;;;;;;False;False;;;;;
Kantonales Sozialamt Asyl (Obermühle);213.3.24.137;8443;;;;;;False;False;;;;;
kelag-steinh-chruezegg;81.63.166.53;8443;;;;;;False;False;;;;;
kelag-steinhausen;62.202.14.68;8443;;;;;;False;False;;;;;
kelag-uaeg-windegg;62.202.15.180;8443;;;;;;False;False;;;;;
Klubschule Luzern KSLU;172.20.2.2;443;;;;;;False;False;;;;;
Klubschule Luzern KSLU;172.20.1.21;443;;;;;;False;False;;;;;
Klubschule Luzern KSLU;172.20.1.22;443;;;;;;False;False;;;;;
Kunsthaus Zug;46.14.37.70;8443;;;;;;False;False;;;;;
Landolt & Mächler;82.136.122.32;8443;;;;;;False;False;;;;;
Landolt & Mächler;172.20.0.167;8443;;;;;;False;False;;;;;
Landolt;213.200.233.6;443;;;;;;False;False;;;;;
Mallar Commodities AG;82.136.74.212;8443;;;;;;False;False;;;;;
Marti Dytan;213.200.206.202;8443;;;;;;False;False;;;;;
Medidata;212.243.92.194;8443;;;;;;False;False;;;;;
Medidata;192.168.65.1;8443;;;;;;False;False;;;;;
Merlé GmbH;212.41.219.201;8443;;;;;;False;False;;;;;
Montana;82.136.108.184;8443;;;;;;False;False;;;;;
MS Service Line;46.14.210.77;8443;;;;;;False;False;;;;;
MSC;62.12.166.162;444;;;;;;False;False;;;;;
Nextmedia;84.253.37.200;8443;;;;;;False;False;;;;;
O'Malley;213.3.46.38;8443;;;;;;False;False;;;;;
OverTheMoon;artpaint.gotdns.com;8080;;;;;;False;False;;;;;
P-4;212.4.68.130;8443;;;;;;False;False;;;;;
Perlen Reinigungen;82.136.96.46;8443;;;;;;False;False;;;;;
Pflegehilfe Stiefele;213.180.180.102;8443;;;;;;False;False;;;;;
PHK Home;212.51.142.168;8443;;;;;;False;False;;;;;
Prime Communications;62.12.134.117;8443;;;;;;False;False;;;;;
Pro Senectute;193.192.234.2;8443;;;;;;False;False;;;;;
PZM;10.34.52.228;8443;;;;;;False;False;;;;;
PZM;10.34.52.229;8443;;;;;;False;False;;;;;
Rahn;82.136.66.198;8443;;;;;;False;False;;;;;
Righi Licht;81.63.131.74;8443;;;;;;False;False;;;;;
S-TEC Sihlbrugg;109.164.214.74;8443;;;;;;False;False;;;;;
Schmidlin AG;82.136.100.45;8443;;;;;;False;False;;;;;
Schmidlin AG;46.14.165.93;8443;;;;;;False;False;;;;;
Schmidlin AG;46.14.165.63;8443;;;;;;False;False;;;;;
Schmidlin AG;83.222.148.49;8443;;;;;;False;False;;;;;
Schulmedia;schulmedia.dyndns.org;443;;;;;;False;False;;;;;
Sehfelder Optik;85.4.78.132;8443;;;;;;False;False;;;;;
SHQA - Swiss Health Quality Association;82.136.66.78;8443;;;;;;False;False;;;;;
SISAG;212.25.15.241;8443;;;;;;False;False;;;;;
SISAG;95.143.48.159;8443;;;;;;False;False;;;;;
SISAG;213.221.155.104;8443;;;;;;False;False;;;;;
SISAG;62.202.45.153;8443;;;;;;False;False;;;;;
Sportmail;151.248.190.41;8443;;;;;;False;False;;;;;
Stadler Treuhand;213.200.225.122;8443;;;;;;False;False;;;;;
Staerkle;82.136.110.45;8443;;;;;;False;False;;;;;
Steimle (privat);213.3.27.128;8443;;;;;;False;False;;;;;
Steiner Treuhand Home;188.61.93.64;8443;;;;;;False;False;;;;;
Steinmann Haustechnik (ITS4Biz);85.2.38.58;8443;;;;;;False;False;;;;;
Stellba;109.164.237.29;8443;;;;;;False;False;;;;;
Stock Spirits;46.14.194.38;8443;;;;;;False;False;;;;;
SwissMerchantGroup;158.181.97.136;8443;;;;;;False;False;;;;;
TeleZüri-Aarau (M1);10.74.0.1;8443;;;;;;False;False;;;;;
TeleZüri-Bern;10.73.0.1;443;;;;;;False;False;;;;;
Tobler Haustechnik;192.168.88.10;8443;;;;;;False;False;;;;;
Tobler Haustechnik;10.90.5.10;8443;;;;;;False;False;;;;;
Tornier AG;194.158.254.107;8443;;;;;;False;False;;;;;
Trans-Auto AG (ITS4Biz);192.168.1.10;8443;;;;;;False;False;;;;;
TransitGas;195.144.38.84;8443;;;;;;False;False;;;;;
VIC CHSZBR;46.14.217.45;8443;;;;;;False;False;;;;;
VIC CNHK02;115.160.171.139;8443;;;;;;False;False;;;;;
VIC CNHK03;115.160.171.154;8443;;;;;;False;False;;;;;
VIC CNHK04;125.214.205.172;8443;;;;;;False;False;;;;;
VIC CNHKAP;210.5.171.11;8443;;;;;;False;False;;;;;
VIC Delemont;217.193.168.210;8443;;;;;;False;False;;;;;
VIC MX-GU (Guadalajara);189.211.186.93;8443;;;;;;False;False;;;;;
VIC MX-MO (Monterrey);189.211.183.209;8443;;;;;;False;False;;;;;
VIC MX-PO (Premier Outlet);201.155.240.68;8443;;;;;;False;False;;;;;
VIC MX-PU (Puebla);200.66.111.179;8443;;;;;;False;False;;;;;
Vischer ;212.25.31.205;8443;;;;;;False;False;;;;;
vonRoll itec Nuelles;89.227.225.186;443;;;;;;False;False;;;;;
Wagner Architekten;213.200.225.151;8443;;;;;;False;False;;;;;
Walker Pestaj;46.14.127.178;8443;;;;;;False;False;;;;;
Weber-Vonesch Root;195.49.111.34;8443;;;;;;False;False;;;;;
Weber-Vonesch Zug;10.32.202.2;8443;;;;;;False;False;;;;;
Wimeba;213.3.59.42;8443;;;;;;False;False;;;;;
Wohnheim Schmetterling Waldheim;82.136.105.58;443;;;;;;False;False;;;;;
WPS Systems Hirschi;77.245.187.34;4443;;;;;;False;False;;;;;
ZEBA;46.14.92.218;8443;;;;;;False;False;;;;;
Zehnder Söhne AG;62.202.60.42;8443;;;;;;False;False;;;;;
Zibris;212.4.67.106;443;;;;;;False;False;;;;;
ZugerCapital;80.238.129.207;8443;;;;;;False;False;;;;;
ZugerPK;81.63.167.65;8443;;;;;;False;False;;;;;
ZugerPK;82.136.66.250;8443;;;;;;False;False;;;;;
Zwicker;83.173.201.105;8443;;;;;;False;False;;;;;
ÖKK;172.16.2.1;8443;;;;;;False;False;;;;;
ÖKK;212.243.205.10;8443;;;;;;False;False;;;;;
ÖKK;212.243.205.11;8443;;;;;;False;False;;;;;
